id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
6bf9f4fc-01ba-49fe-87f9-8c0b64a052fe,b7b38b6aa9b7b023c1ce36e0253ed5de849a58a9dda70f1f04e1841c63ced96e,2024-10-01 05:44:05.950900+00:00,20240930095951_init,None,None,2024-10-01 05:44:05.886530+00:00,1
ea4e8285-dd70-4c8b-8fce-a01d25f0777f,5a85114fcac15c5ad816533ab03d7c244efe21e6e0ed14e96a51487fd5f939be,2024-10-01 05:44:06.012201+00:00,20241001041305_init,None,None,2024-10-01 05:44:05.951686+00:00,1
3c7766c3-b347-4025-a163-42c0833a7bae,fc59844e6179934e0c451980ad6485dd7c3648152112158ae6991930eed993ad,2024-10-01 05:44:06.015258+00:00,20241001044131_add_role_to_user_account,None,None,2024-10-01 05:44:06.012984+00:00,1
